"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","대학구분","학년구분","학과구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지 주소","모집시작일","모집종료일"
"1,205","재단법인 다사장학회","장학금","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","재학생 : 직전 학기 성적 3.0/4.5 이상신입생 : 수능 평균 6등급 이내 (제2외국어 한문 제외)","해당없음","23년제 : 1500000원4년제 : 2000000원","대학생 또는 대학입학예정자","다사읍에 3년 이상 등록기준지(본적)를 두고 있는 자다사읍에 주민등록상 주소를 3년 이상 두고 실제 거주하고 있는 읍민과 그의 자녀자녀는 학업 관계로 다사읍에 거주하지 않아도 가능","다사장학회 운영세칙 : 장학생 선발기준에 의함","2.3년제: 2명4년제: 15명","등록금 감면자 타 장학금(등록금 전액) 수혜자 * 타 장학금(2~3년제 대학 100만원 이상 4년제 대학 150만원 이상) 수혜자인 경우 선발 제외대학입학예정자 중 수시합격자나 수능 미응시자는 제외1세대당 1자녀 선정 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","읍장(이장) 추천학교장 추천","장학생 선발신청서총장 또는 학과장 추천서이장(또는 읍장) 추천서(주소가 3년 이상일 경우) 주민등록등초본(주소가 3년 미만 등록기준지 3년 이상일 경우) 학생 기준의 가족관계증명서 및 기본증명서(재학생) 재학증명서 2023년 2학기 성적증명서(신입생) 입학증명서 수능성적표(복학생 편입생) 복학(편입)예정증명서 직전학기 성적증명서2024년 1학기 등록금 납부확인서 또는 납입증명서2023년 지방세 세목별 과세증명서2023년 건강보험료 납부확인서서약서 및 개인정보 동의서 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.dalseong.daegu.kr/","2024-02-19","2024-02-29"
"1,206","중구농협장학회","장학금","민간(기업)","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","해당없음","대학에 재학중인 자 ","본인 및 부모가 인천광역시 중구에 주소지를 둔 대학생 ","신청인원이 많을 경우 졸업예정자 성적우수자 우선 선정","해당없음","휴학 군입대 등 학교에 다니지 않을 경우 제외사이버대학학점은행해외 체류중인 유학생 제외기존 수여자(수여 세대) 제외","해당없음","장학금 지원 신청서재학증명서직전학기 성적증명서가족관계 및 주소지 파악이 가능한 서류(가족관계증명서주민등록등본)학생 또는 신청자 통장사본 * 자세한 사항은 홈페이지 공고문 참고","http://www.junggu.nonghyup.com","2023-10-25","2023-10-31"
"1,207","제주대학교발전기금","입학우수특별장학금(단대수석)","민간(기타)","장학금","기타","특정대학","대학2학기","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","1년간 월 200000원","제주대학교 재학생단대 수석으로 입학한 학생 또는 수능성적 우수자","해당없음"," 1. 단과대학별 수시모집 및 정시모집 전형총점 최고득점자 각 1명미래융합대학은 수시와 정시를 통합하여 2명 선발 2. 전체수석이 배출된 학과(학부) 이외의 학과(학부) 에서 선발 3. 수시모집 단과대학수석이 배출된 학과(학부) 이외의 학과(학부)에서 정시모집 단과대학수석 선발","23명","입학 후 1년 이내 휴학생(질병 입영휴학 제외)휴학생(질병 입영휴학)은 복학 후 지급입학 후 전과 등으로 소속대학이 변경된 경우 제외","해당없음"," * 신청시 학교 장학 공고 확인 필수장학금신청서 * 접 수 처 : 학과(전공)사무실","http://www.jejunu.ac.kr","2023-10-24","2023-11-03"
"1,208","제주대학교발전기금","입학우수특별장학금(전체수석)","민간(기타)","장학금","기타","특정대학","대학2학기","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","1년간 월 500000원기준 10월 중 6000000만원 지급","제주대학교 학부 재학생전체 수석 입학생","해당없음","해당없음","수시모집 및 정시모집 전형총점 최고득점자 중  1명","입학후 1년 이내 휴학생(입영 질병휴학 제외)휴학생(질병 입영휴학)은 복학 후 지급","해당없음"," * 신청시 학교 장학 공고 확인 필수장학금신청서 * 접 수 처 : 학과(전공)사무실","http://www.jejunu.ac.kr","2023-10-24","2023-11-03"
"1,209","제주대학교발전기금","학술교류장학금","민간(기타)","장학금","기타","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","학기당 12학점 이상 이수 전체성적 2.7 이상신입생은 직전학기 성적 무관 (1과목 이상 이수)","해당없음","1인당 500000원(이중수혜 가능)","2022학년도에 외국 학술교류 대학에서 수학하여 수학기간 종료 학점인정 완료한 제주대학교 학생 * 정규학기 학술교류자에 한함","해당없음"," * 우선순위1순위 : 1년간(2개학기) 모두 이수한 학생 우선 선발2순위 : 전제학년 평점평균 성적이 높은 순 선발3순위 : 평점평균 동점 시 외국 학술교류대학에서 이수한 학점이 많은 순으로 선발","10명","수업연한 초과자 및 휴학생 수료생 졸업생생은 선발에서 제외학술교류 장학금 기수혜자단기 학술교류자","해당없음"," * 신청시 학교 장학 공고 확인 필수장학금신청서학술교류대학 학점인정 완료 학점기록된 성적증명서개인정보수집이용동의서 * 소속학(부)과 사무실로 신청서(서류포함)제출","http://www.jejunu.ac.kr","2023-10-24","2023-11-03"
"1,210","제주대학교발전기금","국가고시 1차 합격자격증취득","민간(기타)","장학금","기타","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 평점평균이 2.7 이상이며 12학점 이상 이수한 자","해당없음","500000원 * 타 장학금과 이중수혜 가능 (학습비 지원)","국가고시 합격자 : 5급(행정)공채시험 5급(기술)공채시험 외교관후보자 시험 입법고시 사법시험 공인회계사 시험 변리사시험일반직7급 공무원 이상 경력경쟁채용 등을 위한 자격증 취득자법무사 감정평가사 물류관리사 공인노무사 수의사 방사성동위원소취급자 2급기관사 등 ※ 자세한 내용은 제주대학교 홈페이지 내 공고참고","해당없음","1순위 : 국가고시 합격자2순위 : 「경력경쟁채용 등을 위한 자격증 구분표」상 상위계급 해당 자격증 취득자 순3순위: 학생의 학년이 높은 순","5명","장학생 신청자격은 학부생에 한하며 수업연한 초과자 및 휴학생은 선발에서 제외동일 자격증으로 1회 지급","해당없음","장학금신청서합격증명서 사본(대학 담당자 원본대조필)개인정보수집이용동의서경력증명서(근무경력 자격요건 증빙 필요 시)","http://www.jejunu.ac.kr","2023-10-24","2023-11-03"
"1,211","제주대학교발전기금","청봉(고시원생보조금)","민간(기타)","장학금","기타","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","총 6000000원","제주대학교 학생으로 진로취업과에서 고시원생 중 학업성적 공인외국어성적 관련자격증 등을 반영한 진로취업과 자체 선발기준에 의거 선발하여 추천","해당없음","학업성적 공인외국어성적 관련자격증 등을 반영한 취업전략본부 자체선발 기준에 따라 선발하여 추천","해당없음","수업연한 초과자 휴학생","취업전략본부 추천"," * 신청시 학교 장학 공고 확인 필수 * 접 수 처 : 학과(전공)사무실","http://www.jejunu.ac.kr/","2023-10-24","2023-11-03"
"1,212","제주대학교발전기금","유성 오헌봉 장학생","민간(기타)","장학금","소득구분","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음"," * 중앙고 출신2021년 2학기 12학점 이상 이수 성적 평점평균 3.0/4.3 이상 * 저소득 성적우수2021년 2학기 12학점 이상 이수 성적 평점평균 3.4/4.3 이상"," * 중앙고 출신 : 학자금 지원 0~3구간 이내 * 저소득 성적우수 : 학자금 지원 0구간 (기초생활수급자)","2000000원 * 학습보조비타 장학금과 이중수혜 가능","* 중앙고 출신중앙고등학교 졸업생제주대학교에서 1개 학기 이상 이수자학과별 1명 이하 선발 * 저소득 성적우수제주대학교에서 1개 학기 이상 이수자학과별 1명 이하 선발","해당없음"," * 중앙고 출신 및 저소득 성적우수자 선발순위1순위: 학자금 지원구간이 낮은 순2순위: 직전학기 평점평균이 높은 순3순위: 직전학기 취득학점이 높은 순4순위: 전체성적 평점평균이 높은 순","중앙고 출신 1명 저소득 성적우수 2명","수업연한초과자 휴학생 신입생 편입생 유성오헌봉 장학금 기 수혜자학습보조비 형식의 장학금 100만원 이상 수혜자","학장 학부(과)장 추천","장학생 신청서개인정보수집이용동의서졸업증명서(중앙고 출신자)한국장학재단 학자금지원구간 통지서","http://www.jejunu.ac.kr","2022-05-11","2022-05-17"
"1,213","제주대학교발전기금","효성장학생","민간(기타)","장학금","기타","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/제한없음","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","1순위: 2022.2학기 12학점 이상 이수 평점평균 2.7/4.32순위: 2022.2학기 12학점 이상 이수 평점평균 4.0/4.3 * 최종학년인 경우 한 과목 이상 이수","해당없음","2000000원","전기공학과(전공) 추천자 1명 우선 선발그외 1순위 선발자 소속 학과를 제외한 학과에서 1명 이내 선발","1순위: 신청마감일 기준 본인 또는 부모의 주민등록 주소지가 행원리인 재학생2순위: 미달인원에 대해 행원리 이외의 신청자 중 성적기준 충족자","1순위 : 신청일 마감기준 본인 또는 부모의 주민등록 주소지가 행원리인 재학생2순위 : 행원리 이외 제주대학교 재학생(1순위 선발인원 미달시) * 자세한 사항은 첨부파일 참고","5명","수업연한초과자휴학생신청학기 등록금외 학습지원금 형식 장학금 100만원 이상 수혜자(행원리 이외 재학생 적용)수료생 졸업생","해당없음","장학생 추천서주민등록등본(주소이력 포함)성적증명서학자금지원구간(소득분위) 통지서개인정보 수집이용 동의서 * 자세한 사항은 첨부파일 참고","http://www.jejunu.ac.kr","2022-10-28","2022-11-09"
"1,214","제주대학교발전기금","효천학술교류장학금","민간(기타)","장학금","기타","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","전체성적 평점평균 2.7/4.3 이상","해당없음","500000원 * 타 장학금과 이중수혜 가능 (학습비 지원)","제주대학교 재학생2023학년도에 1개학기 이상 외국 학술교류 대학에서 학기당 12학점 이상 이수 수학기간이 종료된 학생으로 학점인정 완료한 학생(전체성적 2.7/4.3이상)정규학기 학술교류자에 한함(단기 학술교류자 제외)","해당없음"," * 선발방법1순위 : 2022학년도 1년간(2개학기) 교류수학생 우선 선발2순위 : 전학년(전체성적) 평점평균 성적이 높은 순으로 선발.3순위 : 평점평균이 동점일 경우 외국 학술교류대학에서 이수한 학점이 많은 순으로 선발.","5명","해당없음","해당없음","장학금신청서학술교류대학 학점인정 완료 학점기록된 성적증명서개인정보수집이용동의서","http://www.jejunu.ac.kr","2023-10-24","2023-11-03"
