"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","학교구분","학년구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지주소","모집시작일","모집종료일"
"30","통영시지속가능발전교육재단","인재육성장학금(우수)","지자체","장학금","특기자","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","최대 10000000원"," * 우수장학생예·체·능에 재능있는 고등학생으로 문학 예술 체육 등 특정분야에 재능이 우수하여 전국단위 공인대회 3위 이내 또는 도단위 공인대회 1위 이내에 입상한 사람그 밖에 특별한 사유로 장학금 지급이 불가피하다고 위원회에서 결정한 학생 * 특별장학생 : 우수장학금 기수혜자 중 신청자","본인이 통영시 관할 학교를 6년 이상 재학하거나 주민등록상 6년 이상 통영시에 주소를 두고 직계존속이 공고일 현재 통영시에 주민등록이 되어있고 10년 이상 주소를 둔 자","해당없음","00명","기수혜자 중 3회 초과 선발된 자","학교장추천서","지원신청서장학금 지급대상 기준 충족 증빙 서류학교장추천서자기소개서지역사회 재능기부 동의서 및 근황보고서 제출 동의서실적인정 기간 이내 수상 실적표 및 상장 사본재학증명서개인정보수집활용동의 확인서자신의 재능을 나타낼 수 있는 포트폴리오 * 분야별 실적 인정기간 상이하므로 확인 후 제출 요망 * 자세한 사항은 첨부파일 참조","http://tyrce.or.kr/main/main.php","2023-10-26","2023-11-16"
"31","심헌문화재단","예체능장학생","민간(기타)","장학금","특기자","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","해당없음","해당없음","차상위계층 기초생활수급권 등 가정형편이 어려운 학생 우대","해당없음","문화/예술/체육 등 예체능 분야에 특별한 소질이 있는 관내 고등학생대회 입상자 우대대","해당없음","해당없음","해당없음","1개교당 1명으로 추천 제한","해당없음","장학금 신청서 1부자기소개서 1부학교생활기록부 1부대회 입상 증명서 1부경제적 상황 증빙 서류 1부 * 자세한 내용은 홈페이지 참조 바람","https://www.simhun.or.kr","2024-01-03","2024-01-19"
"32","녹색교통","장학생","민간(기타)","장학금","기타","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","500000원 (분기별 지원)문화체험활동도서 교복 등 물품지원가정심리치유 지원","교통사고로 부모가 사망했거나 중증후유장애를 입은 가정의 고등학생 이하 자녀 중 교통안전공단에서 장학 지원을 받고 있지 않은 자","해당없음","해당없음","해당없음","해당없음","해당없음","녹색교통운동 장학금 신청서개인정보수집 동의서장학금활용계획서주민등록등본재학증명서신청학생 명의 통장사본교통사고사실 확인을 증명할 수 있는 서류생활형편 증빙서류 * 자세한 사항은 홈페이지 참고","http://www.greentransport.org","2022-09-09","2022-09-30"
"33","한국방정환재단","복지장학금","민간(기타)","장학금","소득구분","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","100만원 ~200만원 ※ 수업료 및 기타경비(학교운영비 방과후수강권 체험학습비 수학여행비 등) 용도로 사용가능","웰컴금융그룹 고객 본인 및 고객 자녀로서 가정 경제상황의 악화로 장학금이 필요한 고등학생","해당없음","해당없음","00명","두 자녀 신청시 한 자녀만 지원 가능2회까지만 선발 가능","담임교사 추천서 (학생생활기록부로 대체가능)","장학금신청서주민등록등본개인정보제공 동의서추천서부모의 건강보험증 사본 및 건강보험료 납부 확인서소득/재산 입증서류(해당자) * 자세한 사항은은 공고를 참고 바람","http://www.welcomefg.co.kr","2023-12-27","2024-01-22"
"34","한국방정환재단","성적장학금","민간(기타)","장학금","성적우수","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","2023년 2학기 2024년 1학기 학업성적 15% 이내 (학년석차기준)고교학점제 시행학교의 경우 보통교과 상위 15% 잉내 진로선택과목 성취도 평균 B이상","해당없음","최대 2000000원 (심사결과에 따라 차등지급) ※ 수업료 및 기타 교육경비(학교운영비 급식비 방과후수강권 체험학습비 수학여행비 등)","웰컴금융그룹 고객 자녀","해당없음","경제적 형편을 우선적으로 고려하여 선발","00명","두 자녀 신청 시 한 자녀만 지원 가능","해당없음","장학금신청서주민등록등본개인정보제공 동의서담임교사 추천서부모의 건강보험증 사본 및 건강보험료 납부 확인서소득/재산 입증서류(해당자)성적증명서 * 자세한 사항은은 홈페이지 공고를 참고","http://www.welcomefg.co.kr","2023-12-27","2024-01-22"
"35","재단법인 여객선안전재단","장학생","민간(기타)","장학금","기타","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","1000000원"," * 아래사항에 해당하는 선원의 자녀로서 고등학교 재학생(취업선원) 내항여객선 승선경력이 1년 이상(장해선원) 재해발생당시 승선경력이 1년 이상인 자로서 장해판정을 받은 선원 중 실업기간이 2년이상(순직선원) 순직당시 승선경력이 1년 이상 *자세한 사항 공고문 참조","해당없음","학업성적 해당 선원의 승선 무사고 경력년수 및 근속년수 등을 고려해 선발  * 자세한 사항 홈페이지 참조","2명 이내","첨부서류 등이 허위로 작성되었을 경우중복심사에서 중복지원 또는 지원불가로 구분되었을 경우"," * 아래 해당하는 자의 추천서 제출(택1)해양수산부 연안해운과장한국해운조합 지부장여객선 사업주학교장","장학생선발지원서추천서개인정보 수집·이용·제공 동의서신청선원의 주민등록등본 또는 가족관계증명서성적증명서전년도 해당선원의 근로소득원천징수영수증 사본승무경력증명서재학증명서순직사실확인서(해당자) * 자세한 사항은 홈페이지 참조","https://www.theksa.or.kr","2023-08-01","2023-08-18"
"36","광주광역시서구장학재단(학생지원)","다자녀장학금","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","2023년 1학기 전과목 평균 5등급 이내","해당없음","500000원"," * 다자녀3자녀 이상의 가정","공고일 현재 광주광역시 서구에 주민등록 상 1년 이상 주소를 둔 주민과 그 자녀","해당없음","6명","2023년 광주 서구 통장자녀장학금 또는 학교에서 장학금을 지원받은 고등학생2022년 서구 장학재단 장학생으로 선발되어 장학금을 지원받은 학생공고일 전에 선발되었던 서구지역사회보장협의체 주관 '희망플러스 학교 밖 청소년 장학금 지원사업'장학생 및 서구 장학재단 학교 밖 청소년 장학생상호 중복신청 불가1가구 1인 선발","대상 시설 홈페이지 공고 참조"," * 공통장학금 지원신청서개인정보 수집/이용/제공 및 조회 동의서주민등록 등본재학증명서통장사본 * 다자녀부모 기준 가족관계증명서성적증명서재학증명서 * 자세한 사항은 첨부파일 참고 필수","http://seogu.gwangju.kr","2023-08-28","2023-09-22"
"37","새문안교회","장학금","민간(기타)","장학금","기타","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","학업성적이 우수한 자","공부는 하고 싶으나 학비 조달이 곤란한 자 ","해당없음","고등학교 재학생으로서 본 교회에 등록한지 만 2년 이상 된 세례교인본 교회 각 부서에서 봉사하고 있으며 그 부서장과 부서 담당 교역자의 추천을 받은 자학교나 다른 기관으로부터 전액 장학금을 받고 있지 않은 자 ","해당없음","해당없음","해당없음","서류 미비비학교나 다른 기관으로 부터 전액 장학금을 받고 있지 않은 자 ","부서장과 부서 담당 교역자의 추천을 받은 자","장학금 신청서 1통소속 부서장 과 담당 교역자의 추천서건강보혐료 납부확인서 1통부모 통장사본기타 필요하다고 인정되는 서류  *자세한 사항은 홈페이지 참조 바람","www.saemoonan.org","2022-01-02","2022-01-30"
"38","엔젤스헤이븐타조장학회","꿈더하기장학생","민간(기업)","장학금","기타","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","1인당 최대 1000000원","어려운 환경 속에서도 좌절하지 않고 열심히 학업에 임하며 미래에 대한 꿈과 희망을 품은 청소년2022년 기준 고등학교 1 2학년(학교 밖 청소년 포함)","해당없음","해당없음","00명","해당없음","해당없음","장학금 신청서자기소개서개인정보 수집.이용 및 제3자 제공 동의서재학증명서성적증명서주민등록등본경제상황 증빙서류 : 기초생활수급자/차상위계층/기타저소득층(해당자에 한함) * 자세한 사항은 첨부파일 참고","http://www.angelshaven.or.kr/","2022-12-07","2023-02-10"
"39","강화군산림조합","조합원자녀장학금","민간(기타)","장학금","기타","일반고","1학년/2학년/3학년/제한없음","해당없음","해당없음","500000원","조합원 자녀 및 직계 손자손녀중 현재 고등학교에 재학중인자조합원 신분을 3년 이상 보유한 조합원출자금 200만원 이상 납입한 조합원1가구 1자녀 지원","해당없음","조합원 자녀 신청서 작성 및 접수->장학생 심의의원회 심사기준으로 결정","6명","조합원 자녀기준 총 2회에 한하여 지급하되 매년 연속지급은 불가하며 고등학교 1회 지원","해당없음","장학생 신청서 1부재학증명서 1부2022년도 성적증명서고등학교 1학년생은 중학교 3학년 성적증명서조합원의 가족임을 증명할 수 있는 서류  *자세한 내용은 홈페이지 참조","kanghwa.sanrimjohap.co.kr","2023-05-15","2023-05-26"
